symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days
CURI,15.02,0.42,6.32,2024-02-26,2025-05-21,449
CLFD,15.01,8.77,131.62,2018-12-21,2022-11-30,1440
PDS,15.0,5.7,85.5,2020-03-23,2023-01-20,1033
MTLS,14.99,5.38,80.62,2016-02-23,2021-02-09,1813
ENTG,14.99,10.18,152.58,2016-01-21,2021-11-29,2139
MHUA,14.99,2.6,39.0,2022-07-26,2023-02-21,210
GGAL,14.98,4.82,72.22,2020-04-27,2025-01-07,1716
PBF,14.97,3.96,59.26,2020-10-28,2024-04-05,1255
VVOS,14.96,2.74,41.0,2023-11-10,2023-11-29,19
SGLY,14.96,22.5,336.5,2016-02-16,2016-11-16,274
ASND,14.92,12.25,182.76,2016-06-07,2020-12-14,1651
VNOM,14.91,3.68,54.91,2020-03-23,2024-11-22,1705
TUSK,14.91,0.58,8.65,2020-04-07,2022-12-30,997
BMR,14.9,1.08,16.09,2023-11-01,2024-02-14,105
THC,14.9,11.32,168.66,2020-03-18,2025-05-20,1889
BBAR,14.86,1.59,23.65,2022-07-14,2025-01-22,923
TWST,14.86,14.0,207.97,2018-10-31,2021-01-20,812
NET,14.86,14.62,217.25,2019-10-22,2021-11-18,758
BTCT,14.85,1.33,19.75,2024-09-18,2024-11-14,57
HTCO,14.82,0.28,4.15,2024-09-09,2025-01-02,115
RPD,14.81,9.46,140.13,2016-02-09,2021-11-08,2099
BVS,14.8,0.93,13.71,2023-05-04,2024-11-04,550
CORZZ,14.79,1.23,18.19,2024-04-16,2024-11-22,220
TRAW,14.79,44.63,660.0,2019-11-26,2021-02-18,450
CLIR,14.79,0.39,5.8,2020-03-20,2021-04-01,377
ACLX,14.78,7.21,106.53,2022-05-18,2024-11-11,908
ZS,14.78,24.95,368.78,2018-05-25,2021-11-19,1274
MREO,14.76,0.33,4.87,2022-05-11,2024-08-26,838
SENS,14.76,0.36,5.28,2020-10-28,2021-02-16,111
CRVS,14.75,0.65,9.56,2023-03-28,2024-11-11,594
BMA,14.72,7.87,115.85,2022-07-21,2025-01-07,901
CTRM,14.69,11.78,173.0,2020-11-02,2021-02-11,101
W,14.69,23.52,345.47,2020-03-19,2021-03-22,368
IPWR,14.69,1.53,22.47,2020-03-23,2021-02-05,319
CNTY,14.65,1.08,15.82,2020-03-19,2021-11-03,594
ATI,14.64,5.23,76.58,2020-03-23,2025-05-19,1883
WK,14.64,10.99,160.85,2016-02-12,2021-11-09,2097
DXCM,14.64,11.12,162.82,2017-10-26,2021-11-17,1483
USAC,14.61,1.96,28.64,2020-03-18,2025-02-10,1790
OPRX,14.61,6.71,98.0,2020-03-16,2021-10-21,584
PETZ,14.59,9.53,139.0,2019-05-17,2021-11-09,907
NPCE,14.57,1.29,18.8,2022-12-28,2025-05-21,874
AREB,14.55,1.34,19.5,2025-03-31,2025-04-04,4
IREN,14.52,1.06,15.39,2022-12-28,2024-12-06,709
CRAI,14.51,14.5,210.44,2016-02-11,2025-02-20,3297
YYAI,14.5,3.09,44.8,2024-01-26,2024-04-15,79
LGVN,14.49,29.2,423.0,2021-11-17,2021-11-24,7
DKL,14.48,3.32,48.02,2020-03-18,2022-08-25,890
DOMH,14.48,0.86,12.47,2024-12-30,2025-02-13,45
CAL,14.48,3.01,43.57,2020-03-18,2024-08-23,1619
NFLX,14.47,82.79,1197.56,2016-02-05,2025-05-21,3392
FNGR,14.44,0.62,8.95,2022-09-22,2022-10-12,20
ISPOW,14.44,0.0,0.04,2024-01-11,2024-08-21,222
INMD,14.42,6.78,97.86,2019-08-08,2021-11-02,817
SGRY,14.33,4.68,67.05,2020-03-16,2021-06-25,466
NOG,14.32,2.96,42.36,2020-11-06,2024-11-29,1484
UCTT,14.26,4.56,65.01,2016-02-12,2021-04-05,1878
LGMK,14.25,1200.0,17100.0,2020-03-12,2021-02-17,342
RVPH,14.25,0.6,8.55,2022-08-10,2023-05-05,268
XBPEW,14.25,0.02,0.28,2022-12-29,2023-10-02,276
MFH,14.22,0.56,7.9,2022-11-11,2025-02-06,818
ODFL,14.18,16.3,231.19,2016-01-20,2024-11-11,3218
MKDWW,14.18,0.01,0.09,2024-01-25,2024-08-07,194
OII,14.16,2.16,30.58,2020-03-18,2024-12-02,1720
ASMB,14.13,54.48,769.92,2016-02-29,2018-03-14,743
GROW,14.09,0.75,10.58,2020-03-24,2021-04-09,381
PBT,14.06,1.79,25.16,2020-10-28,2023-04-10,894
NXTT,14.04,0.23,3.27,2025-04-08,2025-05-12,34
JVA,14.02,0.68,9.57,2023-10-10,2025-03-07,514
PLAY,14.02,4.87,68.29,2020-03-18,2024-04-03,1477
PRDO,14.0,2.24,31.36,2016-02-12,2025-05-19,3383
WLDSW,13.99,0.45,6.3,2024-11-22,2025-03-17,114
RFL,13.98,4.55,63.59,2018-04-02,2021-07-12,1197
SLP,13.98,6.28,87.83,2016-06-24,2021-02-09,1691
