symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days,marketCap,industry
SAIA,31.36,19.32,605.92,2016-01-19,2024-03-06,2969,7157887488.0,Trucking
VIST,31.32,1.9,59.5,2020-04-01,2025-01-15,1750,5247092224.0,Oil & Gas E&P
NVMI,31.1,8.8,273.65,2016-01-21,2025-02-20,3318,5415498240.0,Semiconductor Equipment & Materials
MVSTW,31.02,0.02,0.51,2024-07-03,2024-12-31,181,,Auto Parts
TDOC,31.0,9.5,294.54,2016-03-28,2021-02-08,1778,1222781952.0,Health Information Services
HUBS,30.96,27.52,852.08,2016-02-09,2021-11-16,2107,32763234304.0,Software - Application
KNSL,30.88,17.72,547.22,2016-08-03,2024-03-06,2772,10817188864.0,Insurance - Property & Casualty
RNG,30.83,14.38,443.29,2016-03-28,2021-02-12,1782,2371643392.0,Software - Application
PDEX,30.8,2.24,69.0,2016-01-20,2025-04-28,3385,144790176.0,Medical Instruments & Supplies
IZM,30.55,1.67,51.02,2023-04-04,2024-04-16,378,29095360.0,Electronics & Computer Distribution
MELI,30.54,85.27,2604.3,2016-02-09,2025-05-21,3388,131913113600.0,Internet Retail
TOP,30.48,3.55,108.21,2023-02-21,2023-04-28,65,46861292.0,Capital Markets
GEVO,30.43,0.48,14.61,2020-07-01,2021-02-12,226,261123680.0,Specialty Chemicals
