symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days,marketCap,industry
CHEF,18.43,3.6,66.35,2020-03-18,2025-02-18,1798,2601303040.0,Food Distribution
CYTK,18.28,5.91,108.06,2018-12-24,2024-01-08,1841,3739259392.0,Biotechnology
HMY,18.22,0.99,17.99,2016-01-04,2025-04-16,3389,9544287232.0,Gold
RDNT,18.19,4.75,86.38,2016-04-06,2024-11-11,3141,4356247552.0,Diagnostics & Research
UI,18.16,25.11,456.05,2016-01-19,2025-05-13,3401,23806916608.0,Communication Equipment
MPWR,18.12,51.96,941.36,2016-02-09,2024-08-21,3115,32492324864.0,Semiconductors
VCYT,18.04,4.51,81.38,2016-03-23,2021-02-09,1784,2162266112.0,Diagnostics & Research
AMAT,18.04,14.04,253.31,2016-02-11,2024-07-10,3071,131802300416.0,Semiconductor Equipment & Materials
MHO,18.03,9.7,174.92,2020-03-18,2024-10-16,1673,2849528576.0,Residential Construction
KKR,18.02,9.24,166.62,2016-02-11,2025-01-31,3277,108952731648.0,Asset Management
YPF,17.91,2.57,46.03,2020-03-18,2025-01-07,1756,14608347136.0,Oil & Gas Integrated
MRVL,17.62,7.15,125.92,2016-01-19,2025-01-23,3292,51924881408.0,Semiconductors
USLM,17.62,8.93,157.35,2016-02-11,2024-11-26,3211,2986114816.0,Building Materials
CRS,17.55,13.43,235.71,2020-03-20,2025-05-19,1886,11463674880.0,Metal Fabrication
TBBK,17.53,3.58,62.75,2020-03-18,2025-02-05,1785,2433575424.0,Banks - Regional
CDNS,17.5,18.66,326.5,2016-01-13,2024-06-18,3078,86704480256.0,Software - Application
TREX,17.48,8.05,140.68,2016-01-19,2021-12-10,2152,6094782464.0,Building Products & Equipment
DKS,17.41,14.28,248.55,2020-03-18,2025-01-30,1779,14081692672.0,Specialty Retail
AA,17.4,5.27,91.7,2020-03-20,2022-03-24,734,7319159808.0,Aluminum
FLR,17.33,3.4,58.93,2020-03-18,2024-11-07,1695,6237510144.0,Engineering & Construction
CALX,17.2,4.65,79.97,2017-09-08,2021-12-31,1575,3047850496.0,Software - Infrastructure
VST,17.2,11.14,191.57,2020-03-18,2025-01-23,1772,51602219008.0,Utilities - Independent Power Producers
EXTR,17.16,1.88,32.27,2020-03-18,2023-08-11,1241,2117371136.0,Communication Equipment
RACE,16.94,29.86,505.86,2016-02-11,2025-02-20,3297,88410079232.0,Auto Manufacturers
DVN,16.88,4.08,68.79,2020-03-18,2022-10-31,957,20226148352.0,Oil & Gas E&P
CZR,16.83,7.1,119.49,2020-03-18,2021-10-01,562,5814785024.0,Resorts & Casinos
ONC,16.81,23.98,403.14,2016-02-12,2021-09-17,2043,27199188992.0,Biotechnology
GTLS,16.8,14.25,239.47,2016-01-20,2022-11-08,2484,7256591360.0,Specialty Industrial Machinery
GRBK,16.79,4.99,83.77,2016-02-11,2024-10-16,3169,2609222400.0,Residential Construction
TMDX,16.77,10.5,176.11,2020-03-16,2024-08-27,1625,4104378112.0,Medical Devices
LLY,16.67,57.26,954.76,2016-12-01,2024-08-30,2828,650813702144.0,Drug Manufacturers - General
SNAP,16.66,4.99,83.11,2018-12-21,2021-09-24,1007,13837370368.0,Internet Content & Information
SRPT,16.64,10.74,178.74,2016-02-08,2020-12-22,1779,3935993856.0,Biotechnology
KLAC,16.58,53.33,884.19,2016-02-11,2024-07-10,3071,103007805440.0,Semiconductor Equipment & Materials
VEEV,16.55,20.61,341.0,2016-02-11,2021-08-05,2001,38294188032.0,Health Information Services
FANG,16.51,12.39,204.52,2020-03-18,2024-07-17,1582,39825420288.0,Oil & Gas E&P
IONQ,16.47,3.1,51.07,2022-12-27,2025-01-06,741,8310642176.0,Computer Hardware
DY,16.47,13.49,222.22,2020-03-18,2025-05-21,1890,6450259968.0,Engineering & Construction
PTCT,16.45,4.19,68.92,2016-11-03,2021-01-07,1526,3662465792.0,Biotechnology
AM,16.43,1.15,18.96,2020-03-18,2025-05-16,1885,8899096576.0,Oil & Gas Midstream
MU,16.34,9.35,152.74,2016-05-13,2024-06-18,2958,107107909632.0,Semiconductors
NXE,16.29,0.55,8.88,2020-03-23,2024-11-22,1705,3116089344.0,Uranium
GDS,16.25,7.12,115.71,2017-06-09,2021-02-19,1351,5602337792.0,Information Technology Services
EXE,16.24,7.13,115.75,2020-05-14,2025-05-21,1833,27298572288.0,Oil & Gas E&P
ATKR,16.22,11.72,190.07,2020-03-18,2024-04-01,1475,2209900544.0,Electrical Equipment & Parts
ARLP,16.19,1.71,27.74,2020-10-19,2025-01-24,1558,3436733184.0,Thermal Coal
VRNS,16.17,4.54,73.41,2016-02-09,2021-09-07,2036,5183246848.0,Software - Infrastructure
AGYS,16.16,8.77,141.74,2016-01-11,2024-12-17,3263,2806903040.0,Software - Application
PBR,16.14,0.93,15.0,2016-02-11,2024-05-09,3009,75300618240.0,Oil & Gas Integrated
CG,16.12,3.48,56.15,2016-02-09,2025-01-23,3271,15835812864.0,Asset Management
BE,15.97,2.67,42.65,2019-10-24,2021-02-08,473,4228889856.0,Electrical Equipment & Parts
TGTX,15.96,3.44,54.9,2018-12-24,2020-12-21,728,5429421568.0,Biotechnology
HWM,15.89,10.46,166.24,2020-04-21,2025-05-19,1854,65701974016.0,Aerospace & Defense
NOVT,15.87,11.73,186.2,2016-02-05,2024-07-16,3083,4423329280.0,Scientific & Technical Instruments
SID,15.83,0.45,7.13,2016-01-20,2021-05-11,1937,2135004928.0,Steel
WSM,15.75,13.76,216.68,2020-03-18,2025-02-18,1798,20739631104.0,Specialty Retail
FCX,15.75,3.43,53.96,2016-01-13,2024-05-20,3049,54589956096.0,Copper
SMR,15.73,1.92,30.21,2024-01-18,2024-11-22,309,3183947776.0,Specialty Industrial Machinery
CSWI,15.71,27.46,431.32,2016-02-22,2024-11-25,3199,5277446144.0,Specialty Industrial Machinery
BCC,15.67,9.7,151.98,2016-02-18,2024-11-25,3203,3286201856.0,Lumber & Wood Production
APPN,15.67,15.01,235.24,2017-05-25,2021-01-27,1343,2309981696.0,Software - Infrastructure
BILI,15.65,9.99,156.37,2018-05-04,2021-02-10,1013,7440282624.0,Internet Content & Information
CVE,15.59,1.48,22.99,2020-03-18,2022-06-07,811,24050722816.0,Oil & Gas Integrated
RGEN,15.49,20.93,324.21,2016-02-08,2021-09-23,2053,6753770496.0,Medical Instruments & Supplies
IBP,15.47,17.21,266.23,2016-01-19,2024-07-31,3115,4252495616.0,Residential Construction
CPRT,15.47,4.13,63.84,2016-01-21,2025-05-16,3402,59018620928.0,Specialty Business Services
GPI,15.42,31.35,483.54,2020-03-18,2025-02-13,1793,5578607104.0,Auto & Truck Dealerships
CRSP,15.42,13.62,210.04,2017-05-31,2021-01-14,1324,3194593280.0,Biotechnology
ON,15.33,7.05,108.09,2016-02-11,2023-08-01,2727,18244857856.0,Semiconductors
SNPS,15.33,40.53,621.3,2016-01-13,2024-07-05,3095,77535739904.0,Software - Infrastructure
GLOB,15.32,23.13,354.44,2016-02-12,2021-11-09,2097,4526517760.0,Information Technology Services
ASML,15.26,71.37,1089.33,2016-01-15,2024-07-10,3098,289855242240.0,Semiconductor Equipment & Materials
FRHC,15.26,12.0,183.07,2020-03-18,2025-05-20,1889,10783727616.0,Financial Conglomerates
MPC,15.17,14.14,214.57,2020-03-23,2024-04-05,1474,48140435456.0,Oil & Gas Refining & Marketing
NUVL,15.16,7.4,112.17,2022-05-16,2024-09-16,854,5289436672.0,Biotechnology
ENTG,14.99,10.18,152.58,2016-01-21,2021-11-29,2139,10965902336.0,Semiconductor Equipment & Materials
GGAL,14.98,4.82,72.22,2020-04-27,2025-01-07,1716,10147546112.0,Banks - Regional
PBF,14.97,3.96,59.26,2020-10-28,2024-04-05,1255,2327973888.0,Oil & Gas Refining & Marketing
ASND,14.92,12.25,182.76,2016-06-07,2020-12-14,1651,9558267904.0,Biotechnology
VNOM,14.91,3.68,54.91,2020-03-23,2024-11-22,1705,11674409984.0,Oil & Gas Midstream
THC,14.9,11.32,168.66,2020-03-18,2025-05-20,1889,15124464640.0,Medical Care Facilities
BBAR,14.86,1.59,23.65,2022-07-14,2025-01-22,923,4627956224.0,Banks - Regional
NET,14.86,14.62,217.25,2019-10-22,2021-11-18,758,54251397120.0,Software - Infrastructure
ACLX,14.78,7.21,106.53,2022-05-18,2024-11-11,908,3611693056.0,Biotechnology
ZS,14.78,24.95,368.78,2018-05-25,2021-11-19,1274,38483202048.0,Software - Infrastructure
BMA,14.72,7.87,115.85,2022-07-21,2025-01-07,901,6022028800.0,Banks - Regional
W,14.69,23.52,345.47,2020-03-19,2021-03-22,368,4673231872.0,Internet Retail
ATI,14.64,5.23,76.58,2020-03-23,2025-05-19,1883,10604081152.0,Metal Fabrication
WK,14.64,10.99,160.85,2016-02-12,2021-11-09,2097,3823896064.0,Software - Application
DXCM,14.64,11.12,162.82,2017-10-26,2021-11-17,1483,33285963776.0,Medical Devices
USAC,14.61,1.96,28.64,2020-03-18,2025-02-10,1790,2899572224.0,Oil & Gas Equipment & Services
IREN,14.52,1.06,15.39,2022-12-28,2024-12-06,709,2150197760.0,Capital Markets
DKL,14.48,3.32,48.02,2020-03-18,2022-08-25,890,2169914112.0,Oil & Gas Refining & Marketing
NFLX,14.47,82.79,1197.56,2016-02-05,2025-05-21,3392,508399910912.0,Entertainment
SGRY,14.33,4.68,67.05,2020-03-16,2021-06-25,466,2905387264.0,Medical Care Facilities
NOG,14.32,2.96,42.36,2020-11-06,2024-11-29,1484,2655140096.0,Oil & Gas E&P
ODFL,14.18,16.3,231.19,2016-01-20,2024-11-11,3218,34697449472.0,Trucking
PRDO,14.0,2.24,31.36,2016-02-12,2025-05-19,3383,2027693184.0,Education & Training Services
TKO,13.83,12.74,176.16,2016-02-12,2025-02-12,3288,13066520576.0,Entertainment
AGI,13.81,2.2,30.33,2016-01-20,2025-04-16,3373,10976746496.0,Gold
PIPR,13.81,24.91,344.02,2016-02-02,2024-11-25,3219,4145540608.0,Capital Markets
CRWD,13.79,33.01,455.36,2020-03-16,2025-02-18,1800,108282429440.0,Software - Infrastructure
WCC,13.75,15.43,212.14,2020-03-18,2024-11-25,1713,8104830976.0,Industrial Distribution
ERJ,13.72,4.11,56.34,2020-11-02,2025-03-19,1597,8783419392.0,Aerospace & Defense
HEES,13.7,7.34,100.57,2016-02-11,2025-02-18,3295,3469760256.0,Rental & Leasing Services
CMG,13.64,5.03,68.55,2018-02-13,2024-06-18,2316,68432416768.0,Restaurants
MLTX,13.62,4.69,63.86,2022-05-16,2024-02-12,637,2446299648.0,Biotechnology
INSP,13.56,24.05,326.08,2018-05-07,2023-07-14,1894,4308763648.0,Medical Devices
CNQ,13.51,2.92,39.47,2020-03-18,2024-04-10,1484,64326492160.0,Oil & Gas E&P
QS,13.45,9.79,131.67,2020-08-21,2020-12-22,123,2185400832.0,Auto Parts
PODD,13.38,24.68,330.23,2016-02-11,2023-05-12,2646,22836654080.0,Medical Devices
CHX,13.38,2.9,38.82,2020-03-23,2024-04-05,1474,4715092992.0,Oil & Gas Equipment & Services
VALE,13.35,1.24,16.59,2016-01-25,2022-04-04,2260,41281347584.0,Other Industrial Metals & Mining
TSM,13.34,16.79,223.93,2016-01-13,2025-01-23,3298,994567061504.0,Semiconductors
TAL,13.34,6.76,90.15,2016-01-15,2021-02-19,1862,6550427648.0,Education & Training Services
SFM,13.3,13.32,177.12,2020-03-12,2025-02-14,1800,16115353600.0,Grocery Stores
OKTA,13.29,21.95,291.78,2017-07-31,2021-02-12,1292,21369165824.0,Software - Infrastructure
UPST,13.23,29.47,390.0,2020-12-16,2021-10-15,302,4178763776.0,Credit Services
KAI,13.13,32.14,422.1,2016-01-21,2024-11-26,3232,3615319296.0,Specialty Industrial Machinery
EME,13.12,40.83,535.64,2016-01-20,2025-01-22,3290,20757417984.0,Engineering & Construction
RIG,13.12,0.67,8.8,2020-10-30,2023-07-31,1004,2172822016.0,Oil & Gas Drilling
ZBRA,13.1,46.93,614.55,2016-07-06,2021-12-10,1983,14641971200.0,Communication Equipment
APA,13.09,3.57,46.76,2020-04-01,2022-06-07,797,6029719552.0,Oil & Gas E&P
IMVT,13.07,3.38,44.19,2022-06-16,2023-12-26,558,2447696896.0,Biotechnology
CAAP,13.05,1.68,21.92,2020-04-03,2025-05-19,1872,3440882432.0,Airports & Air Services
DELL,13.03,13.52,176.14,2020-03-18,2024-05-29,1533,76501696512.0,Computer Hardware
HLNE,12.98,15.43,200.34,2017-03-01,2024-11-11,2812,9218347008.0,Asset Management
BX,12.98,15.1,196.0,2016-02-11,2024-11-22,3207,166806994944.0,Asset Management
